provinces,LATITUDE,LONGITUDE,population
Alberta,53.01669802,-112.8166386,4262635
British Columbia,49.09996035,-116.516697,5000879
Manitoba,50.15002545,-96.88332178,1342153
New Brunswick,45.26704185,-66.07667505,775610
Newfoundland And Labrador,49.17440025,-57.42691878,510550
Northwest Territories,62.40005292,-110.7333291,41070
Nova Scotia,45.58327578,-62.63331934,969383
Nunavut,68.76746684,-81.23608303,36858
Ontario,44.56664532,-80.84998519,14223942
Prince Edward Island,46.24928164,-63.13132512,154331
Quebec,49.82257774,-64.34799504,8501833
Saskatchewan,50.93331097,-102.7999891,1132505
Yukon,61.35037539,-139.0000017,40232
