REPORT_RECEIVED_DATE,IYEAR,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,FLOW_CONT_KEY_CRIT_IND,FLOW_CONT_SERVICE_VALVE_IND,FLOW_CONT_METER_REG_IND,FLOW_CONT_SQUEEZE_OFF_IND,FLOW_CONT_STOPPLE_FITNG_IND,FLOW_CONT_OTHER_IND,FLOW_CONT_OTHER_DETAIL,NRC_RPT_DATETIME,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,NUM_EMP_FATALITIES,NUM_CONTR_FATALITIES,NUM_ER_FATALITIES,NUM_WORKER_FATALITIES,NUM_GP_FATALITIES,FATAL,INJURY_IND,NUM_EMP_INJURIES,NUM_CONTR_INJURIES,NUM_ER_INJURIES,NUM_WORKER_INJURIES,NUM_GP_INJURIES,INJURE,IGNITE_IND,IGNITE_DATETIME,HOW_EXTINGUISHED,GAS_CONSUMED_BY_FIRE_IN_MCF,EXPLODE_IND,NUM_PUB_EVACUATED,INCIDENT_IDENTIFIED_DATETIME,COMMUNICATION_STATE_FED_IND,PARTY_INITIATED_COMMUNICATION,INITIAL_RESPONDER_COM_DATETIME,ON_SITE_DATETIME,FEDERAL,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,INCIDENT_AREA_DETAILS,DEPTH_OF_COVER,OTHER_UNDERGROUND_FACILITIES,CROSSING,BRIDGE_CROSSING_IND,BRIDGE_TYPE,WATER_CROSSING_IND,WATER_TYPE,WATER_NAME,WATER_DEPTH,PIPE_FACILITY_TYPE,PIPE_TYPE_OTHER,SYSTEM_PART_INVOLVED,SYSTEM_PART_DETAILS,INSTALLATION_YEAR,MANUFACTURED_YEAR,CUSTOMER_TYPE,WAS_EFV_INSTALLED_BEFORE_IND,EVF_ACTIVATION_IND,CURB_VALVE_INST_BEFORE_INC_IND,PIPE_DIAMETER,PIPE_SPECIFICATION,PIPE_MANUFACTURER,MATERIAL_INVOLVED,MATERIAL_DETAILS,STEEL_SEAM_TYPE,STEEL_SEAM_TYPE_DETAILS,WT_STEEL,PLASTIC_TYPE,PLASTIC_SDR,WT_PLASTIC,WT_PLASTIC_UNKNOWN_IND,MATERIAL_PE_PIPE_CODE,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,LEAK_TYPE_OTHER,RUPTURE_ORIENT,RUPTURE_DETAILS,RUPTURE_LENGTH,RUPTURE_WIDTH,RELEASE_TYPE_DETAILS,CLASS_LOCATION_TYPE,EST_COST_OPER_PAID,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_OTHER,EST_COST_OTHER_DETAILS,GAS_COST_IN_MCF,EST_COST_UNINTENTIONAL_RELEASE,EST_COST_INTENTIONAL_RELEASE,PRPTY,COMMERCIAL_AFFECTED,INDUSTRIAL_AFFECTED,RESIDENCES_AFFECTED,NUM_PERSONS_HOSP_NOT_OVNGHT,NUM_INJURED_TREATED_BY_EMT,NUM_RESIDENT_BUILDING_AFFCTD,NUM_BUSINESS_BUILDING_AFFCTD,ACCIDENT_PSIG,NORMAL_PSIG,MOP_PSIG,MOP_CFR_SECTION,MAOP_ESTABLISHED_DATE,ACCIDENT_PRESSURE,GAS_ODORIZED_SYSTEM_TYPE,GAS_ODORIZED_LEVEL,GAS_ODORIZED_LVL_NOT_MSRD_IND,SCADA_IN_PLACE_IND,SCADA_OPERATING_IND,SCADA_FUNCTIONAL_IND,SCADA_DETECTION_IND,SCADA_CONF_IND,ACCIDENT_IDENTIFIER,ACCIDENT_DETAILS,OPERATOR_TYPE,INVEST_SCHEDULE_IND,INVEST_NO_CONTROL_ROOM_IND,INVEST_NO_CONTROLLER_IND,EMPLOYEE_DRUG_TEST_IND,NUM_EMPLOYEES_TESTED,NUM_EMPLOYEES_FAILED,CONTRACTOR_DRUG_TEST_IND,CAUSE,CAUSE_DETAILS,NATURAL_FORCE_TYPE,EARTH_SUBTYPE,HEAVY_RAINS_SUBTYPE,LIGHTNING_SUBTYPE,TEMPERATURE_SUBTYPE,NF_OTHER_DETAILS,NF_EXTREME_WEATHER_IND,NF_HURRICANE_IND,NF_TROPICAL_STORM_IND,NF_TORNADO_IND,NF_OTHER_IND,NF_EXTREME_WEATHER_DETAILS,NF_HEAVY_RAINS_IND,NF_HIGH_WINDS_IND,NF_VEGITATION_ROOT_IND
05-04-2023,2023,3/25/2023 2:56,43.469763,-110.748873,,,YES,,,,,3/25/2023 7:10,NATURAL GAS,27,0,NO,,,,,,0,NO,,,,,,0,YES,3/25/2023 3:00,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,27,NO,0,3/25/2023 5:30,,,,3/25/2023 3:00,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,COOPERATIVE,,SERVICE RISER,,2006,2006,SINGLE FAMILY RESIDENTIAL,NO,,NO,,,,STEEL,,OTHER,THREADS,0.113,,,,,,OTHER,,,,,,,,,METER CAIN SHEARED OFF RIGHT AT THE METER,CLASS 2 LOCATION,3000000,100,540,0,,27,729,0,3001369,0,0,1,0,0,1,0,50,50,60,192.619(A)(3),05-05-2006,PRESSURE DID NOT EXCEED MAOP,DRIP,,YES,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,SNOW/ICE IMPACT OR ACCUMULATION,SNOW/ICE IMPACT OR ACCUMULATION,,,,,,NO,,,,,,,,
04-10-2023,2023,03-11-2023 19:20,43.9562,-96.9991,,,YES,,,,,03-11-2023 20:09,NATURAL GAS,3652,0,NO,,,,,,0,NO,,,,,,0,NO,,,,,2,03-11-2023 18:53,,,,03-11-2023 19:05,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,2002,2002,SINGLE FAMILY RESIDENTIAL,NO,,NO,,,,PLASTIC,,,,,POLYETHYLENE (PE),11,,,2406,OTHER,,,,,,,,,TO BE DETERMINED - INVESTIGATION INCOMPLETE - LAB TESTING REQUIRED,CLASS 3 LOCATION,600000,1000,5000,0,,1.07,3908,0,609908,0,0,1,0,0,2,0,40,40,66,192.619(A)(2),6/24/2002,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,22,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,SNOW/ICE IMPACT OR ACCUMULATION,SNOW/ICE IMPACT OR ACCUMULATION,,,,,,NO,,,,,,,,
3/24/2023,2023,2/23/2023 11:22,44.017166,-97.097857,,,,YES,,,,2/23/2023 17:24,NATURAL GAS,50,0,NO,,,,,,0,NO,,,,,,0,YES,2/23/2023 11:45,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,50,YES,10,2/23/2023 11:22,,,,2/23/2023 11:37,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,2021,2020,SINGLE FAMILY RESIDENTIAL,YES,NO,NO,,,,PLASTIC,,,,,POLYETHYLENE (PE),11,,,2406,OTHER,,,,,,,,,METER SET WAS BURIED IN 6-8FT OF SNOW AND ICE.  UNSURE WHAT CAUSE HOUSE TO EXPLODE UNTIL FURTHER TESTING OF METER SET PIPING CAN BE TESTING/COMPLETED AT A LAB.,CLASS 3 LOCATION,400000,1000,5000,0,,1.07,54,0,406054,0,0,1,3,0,8,0,40,40,50,192.619(A)(2),1/13/1989,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,13,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,SNOW/ICE IMPACT OR ACCUMULATION,SNOW/ICE IMPACT OR ACCUMULATION,,,,,,NO,,,,,,,,
02-01-2023,2023,01-05-2023 06:22,37.965508,-122.334511,,,,YES,,,,01-06-2023 10:32,NATURAL GAS,5358,0,NO,,,,,,0,NO,,,,,,0,NO,,,,,3,01-05-2023 06:22,,,,01-05-2023 06:44,NO,PUBLIC PROPERTY,UNDERGROUND,UNDER PAVEMENT,,30,NO,NO,,,,,,,PRIVATELY OWNED,,MAIN,,1943,UNKNOWN,,,,,4,UNKNOWN,UNKNOWN,STEEL,,OTHER,UNKNOWN,UNKNOWN,,,,,,RUPTURE,,,,,CIRCUMFERENTIAL,,4,4,,CLASS 3 LOCATION,0,13571,596,0,,6,32148,0,46315,0,0,8,0,0,8,0,54,54,60,192.619(A)(3),01-01-1966,PRESSURE DID NOT EXCEED MAOP,ODORIZED BY OTHERS,,YES,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,HEAVY RAINS/FLOODS,,WASHOUTS/SCOURING,,,,YES,,,,YES,HEAVY RAIN (BOMB CYCLONE + ATMOSPHERIC RIVER),,,
4/25/2022,2022,04-05-2022 01:55,32.29862,-95.26616,,,YES,,,,,04-05-2022 05:25,NATURAL GAS,1,0,NO,,,,,,0,NO,,,,,,0,YES,04-05-2022 01:55,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,0.5,NO,0,04-05-2022 01:55,,,,04-05-2022 02:25,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,PRIVATELY OWNED,,OUTSIDE METER/REGULATOR SET,,1994,UNKNOWN,"NON-RESIDENTIAL WITH METER CAPACITY LESS THAN 1,000 SCFH",NO,,NO,,,,OTHER,REGULATOR BODY,,,,,,,,,OTHER,,,,,,,,,"DURING A LOCAL STORM A PONTOON BOAT BELONGING TO TYLER CAR & TRUCK CENTER, ROLLED INTO METER SET AND TYLER CAR & TRUCK CENTER BUILDING,  RESULTING IN DAMAGE TO REGULATOR ALLOWING GAS TO BE RELEASED.",CLASS 3 LOCATION,125000,300,676,0,,4.72,5,0,125981,1,0,0,0,0,0,1,50,50,60,192.619(A)(1),01-01-1970,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,0.5,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HIGH WINDS,HIGH WINDS,,,,,,YES,,,,YES,THUNDER STORMS/HIGH WINDS,YES,YES,
04-06-2022,2022,2/23/2022 15:22,39.98781,-82.52051,,YES,YES,,,,,2/23/2022 15:22,NATURAL GAS,7,0,NO,,,,,,0,NO,,,,,,0,YES,2/23/2022 13:45,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,7,YES,1,2/23/2022 14:10,YES,OPERATOR,2/23/2022 13:51,2/23/2022 14:17,NO,PRIVATE PROPERTY,ABOVEGROUND,INSIDE A BUILDING,,,,NO,,,,,,,COOPERATIVE,,SERVICE RISER,,1998,UNKNOWN,SINGLE FAMILY RESIDENTIAL,NO,,YES,,,,PLASTIC,,,,,POLYETHYLENE (PE),,,UNKNOWN,2406,LEAK,,,CONNECTION FAILURE,,,,,,,CLASS 1 LOCATION,277236,0,5000,0,,39,273,0,282509,0,0,1,1,0,1,0,44,44,60,192.619(A)(1),4/24/1998,PRESSURE DID NOT EXCEED MAOP,ODORIZED BY OTHERS,7,,YES,YES,YES,NO,NO,NOTIFICATION FROM PUBLIC,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,TREES/VEGETATION ROOTS,TREES/VEGETATION ROOTS,,,,,,NO,,,,,,,,YES
02-04-2022,2022,01-06-2022 14:13,47.205944,-120.979782,,,YES,,,,,01-06-2022 20:39,NATURAL GAS,112,0,NO,,,,,,0,NO,,,,,,0,YES,01-06-2022 14:13,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,9,NO,0,01-06-2022 14:41,,,,01-06-2022 15:30,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,PRIVATELY OWNED,,OUTSIDE METER/REGULATOR SET,,2008,2008,"NON-RESIDENTIAL WITH METER CAPACITY 1,000 SCFH OR HIGHER",NO,,YES,,,,OTHER,ALUMINUM,,,,,,,,,OTHER,,,,,,,,,EQUIPMENT BODY SEPARATED BY EXTERNAL LOAD,CLASS 4 LOCATION,510450,9457,1583,0,,11,1232,0,522722,1,0,0,0,0,0,1,2,50,60,192.619(A)(2),05-02-2008,PRESSURE DID NOT EXCEED MAOP,BY-PASS,8.6,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,SNOW/ICE IMPACT OR ACCUMULATION,SNOW/ICE IMPACT OR ACCUMULATION,,,,,,YES,,,,YES,HEAVY SNOWFALL,,,
11/24/2021,2021,10/24/2021 21:35,41.39615,-88.944209,,,YES,,,,,10/25/2021 1:08,NATURAL GAS,3.75,0,NO,,,,,,0,NO,,,,,,0,YES,10/24/2021 21:35,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,3.75,NO,0,10/24/2021 22:18,,,,10/24/2021 23:11,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,2020,2020,SINGLE FAMILY RESIDENTIAL,NO,,NO,,,,OTHER,ALUMINUM,,,,,,,,,OTHER,,,,,,,,,BACK OF METER BLOW OUT DUE TO ELECTRICAL DISCHARGE,CLASS 1 LOCATION,75000,150,500,0,,6.53,24,0,75674,0,0,1,1,0,1,0,0.25,0.25,0.3,192.619(A)(1),10/16/2020,PRESSURE DID NOT EXCEED MAOP,COMBINATION OF ODORIZATION TYPES,,YES,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,SECONDARY IMPACT SUCH AS RESULTING NEARBY FIRES,,,NO,,,,,,,YES,
10/29/2021,2021,10-06-2021 10:08,34.368962,-83.804188,,,YES,,,,,10-06-2021 12:12,NATURAL GAS,0.5,0,NO,,,,,,0,NO,,,,,,0,YES,10-06-2021 10:08,LOCAL/STATE/FEDERAL EMERGENCY RESPONDER,0.5,NO,0,10-06-2021 10:08,,,,10-06-2021 10:28,NO,PRIVATE PROPERTY,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,OUTSIDE METER/REGULATOR SET,,2002,UNKNOWN,SINGLE FAMILY RESIDENTIAL,NO,,NO,,,,OTHER,TYPICAL METER SET,,,,,,,,,RUPTURE,,,,,CIRCUMFERENTIAL,,0.5,0.5,,CLASS 3 LOCATION,140000,200,200,0,,6.65,3,0,140403,0,0,1,0,0,1,0,125,125,125,192.619(A)(2),8/18/1983,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,10,,NO,,,,,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,LIGHTNING,LIGHTNING,,,DIRECT HIT,,,NO,,,,,,,,
9/17/2021,2021,8/18/2021 21:47,41.95415,-77.442767,YES,,,,,,,8/19/2021 9:59,NATURAL GAS,11440,0,NO,,,,,,0,NO,,,,,,0,NO,,,,,0,8/18/2021 21:47,,,,8/18/2021 22:05,NO,UTILITY RIGHT-OF-WAY / EASEMENT,ABOVEGROUND,"TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE (E.G. VALUE OR REGULATOR STATION, OUTDOOR METER SET)",,,,NO,,,,,,,INVESTOR OWNED,,DISTRICT REGULATOR/METERING STATION,,1976,UNKNOWN,,,,,,,,STEEL,,SEAMLESS,,UNKNOWN,,,,,,RUPTURE,,,,,CIRCUMFERENTIAL,,2,2,,CLASS 3 LOCATION,0,220000,24702,0,,3.75,42900,0,287602,0,0,0,0,0,0,0,230,230,275,192.619(A)(4),01-01-1976,PRESSURE DID NOT EXCEED MAOP,INJECTION PUMP,,YES,YES,YES,YES,YES,YES,NOTIFICATION FROM EMERGENCY RESPONDER,,,,,,NO,,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,HEAVY RAINS/FLOODS,,WASHOUTS/SCOURING,,,,YES,,YES,,,,,,
