Entity,Code,Year,Coal consumption - TWh,Oil consumption - TWh,Gas consumption - TWh,Nuclear consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Solar consumption - TWh,Other renewables (including geothermal and biomass) - TWh
Canada,CAN,1965,179.98587,642.81793,216.68422,0.36320192,349.18494,,,
Canada,CAN,1966,176.45036,677.2622,237.22487,0.4880525,387.36557,,,
Canada,CAN,1967,174.82216,723.1062,251.91719,0.43413973,396.01184,,,
Canada,CAN,1968,189.92952,769.7931,280.52078,2.6048386,402.7419,,,
Canada,CAN,1969,183.37021,801.5453,313.4963,1.5010456,445.43494,,,
Canada,CAN,1970,196.87263,854.80023,346.3385,2.942503,467.60938,,,
Canada,CAN,1971,187.1267,877.85034,369.66525,12.1076765,480.39542,,,
Canada,CAN,1972,176.5783,924.3328,415.7948,20.46132,537.10455,,,
Canada,CAN,1973,181.8583,1009.6328,442.17908,43.28345,575.5898,,,
Canada,CAN,1974,184.77744,1027.002,446.97964,41.70012,622.94006,,,
Canada,CAN,1975,179.76491,1013.2218,461.5815,35.667564,598.7016,,,0
Canada,CAN,1976,212.829,1037.8885,465.67725,49.41816,628.91907,,,2.2568884
Canada,CAN,1977,271.95593,1046.0139,488.442,74.74582,650.9723,,,3.4124663
Canada,CAN,1978,223.62164,1079.6921,493.10925,88.53614,695.64355,,,3.6135752
Canada,CAN,1979,211.7474,1121.5848,500.634,100.081985,721.86316,,,4.2935147
Canada,CAN,1980,257.8914,1101.6031,497.49075,107.91637,742.6419,,,4.1498656
Canada,CAN,1981,263.31723,1043.3728,482.727,113.690704,786.60345,,,6.0588036
Canada,CAN,1982,278.24472,947.26935,511.20673,108.78181,762.29706,,,6.828125
Canada,CAN,1983,291.11526,890.6957,487.4895,137.9316,786.4172,,,6.655746
Canada,CAN,1984,324.2714,899.10645,541.11523,148.14665,846.0626,,,7.460181
Canada,CAN,1985,311.69055,903.02344,567.60046,171.72923,897.875,0.002957,,5.3533263
Canada,CAN,1986,288.88306,923.06506,546.25397,202.22118,918.5443,0.002957,,5.9534607
